Date,Close,1Month,3Months,6Months,12Months
3/1/1987,291.700012,0.026389865,0.204525806,0.261023704,0.221013057
4/1/1987,288.359985,-0.011450212,0.052101571,0.181900114,0.224354535
5/1/1987,290.100006,0.006034197,0.020760006,0.164031799,0.172832015
6/1/1987,304,0.047914491,0.042166567,0.255316524,0.211927942
7/1/1987,318.660004,0.048223697,0.105077058,0.16265331,0.349568062
8/1/1987,329.799988,0.03495884,0.136849297,0.160450296,0.303918069
9/1/1987,321.829987,-0.024166165,0.058651273,0.103290962,0.391276056
10/1/1987,251.789993,-0.217630416,-0.209847518,-0.12682062,0.032010809
11/1/1987,230.300003,-0.085348865,-0.301697964,-0.206135821,-0.075916852
12/1/1987,247.080002,0.07286148,-0.232265445,-0.187236836,0.02027503
1/1/1988,257.070007,0.040432269,0.020969912,-0.19327809,-0.062062102
2/1/1988,267.820007,0.041817403,0.162917948,-0.187932029,-0.057635483
3/1/1988,258.890015,-0.03334326,0.047798336,-0.19556901,-0.112478559
4/1/1988,261.329987,0.009424744,0.016571284,0.037888694,-0.093736993
5/1/1988,262.160004,0.003176126,-0.021133608,0.138341297,-0.096311622
6/1/1988,273.5,0.043256011,0.056433173,0.106928921,-0.100328947
7/1/1988,272.019989,-0.005411375,0.040906144,0.058155295,-0.14636294
8/1/1988,261.519989,-0.038600104,-0.002441314,-0.023523328,-0.207034571
9/1/1988,271.910004,0.039729334,-0.005813514,0.050291584,-0.155112901
10/1/1988,278.970001,0.025964462,0.025549637,0.067500918,0.107947134
11/1/1988,273.700012,-0.018890881,0.046573966,0.04401895,0.188449885
12/1/1988,277.720001,0.014687573,0.021367353,0.01542962,0.124008413
1/1/1989,297.470001,0.071114792,0.066315374,0.093559345,0.157155611
2/1/1989,288.859985,-0.028944149,0.055389011,0.104542663,0.078560143
3/1/1989,294.869995,0.020805962,0.061752823,0.08443967,0.138977859
4/1/1989,309.640015,0.050089939,0.040911735,0.109940187,0.184862168
5/1/1989,320.519989,0.035137493,0.109603288,0.171063116,0.222612085
6/1/1989,317.980011,-0.007924554,0.078373576,0.144966188,0.162632581
7/1/1989,346.079987,0.088370259,0.117684957,0.163411389,0.272259396
